date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:43	345/345	U--MCZ	200	updated ('OK')	text/plain	date:Tue,%2003%20Jan%202023%2023:05:42%20GMT	https://ambersway.com/robots.txt		(from )
18:05:44	618933/618933	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2003%20Jan%202023%2023:05:43%20GMT	https://ambersway.com/	/home/mjs/sites/ambersway/ambersway.com/index.html	(from )
18:05:45	38/38	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2003%20Jan%202023%2023:05:45%20GMT	https://ambersway.com/remote-login.php?wpcom_remote_login=validate	/home/mjs/sites/ambersway/ambersway.com/remote-login4f98.html	(from https://ambersway.com/)
18:05:45	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2003%20Jan%202023%2023:05:45%20GMT	https://r-login.wordpress.com/remote-login.php	/home/mjs/sites/ambersway/r-login.wordpress.com/remote-login.2.delayed	(from https://ambersway.com/)
18:05:46	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Jan%202023%2023:05:46%20GMT	http://s0.wp.com/	/home/mjs/sites/ambersway/s0.wp.com/index.html	(from https://ambersway.com/)
18:05:46	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Jan%202023%2023:05:46%20GMT	http://amberswayblog.wordpress.com/	/home/mjs/sites/ambersway/amberswayblog.wordpress.com/index.html	(from https://ambersway.com/)
18:05:46	5842/5842	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2003%20Jan%202023%2023:05:45%20GMT	https://gmpg.org/xfn/11	/home/mjs/sites/ambersway/gmpg.org/xfn/11.html	(from https://ambersway.com/)
18:05:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Jan%202023%2023:05:46%20GMT	https://wp.me/P9MQfg-cJ	/home/mjs/sites/ambersway/wp.me/P9MQfg-cJ.8.delayed	(from https://ambersway.com/)
18:05:47	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Jan%202023%2023:05:47%20GMT	http://fonts-api.wp.com/	/home/mjs/sites/ambersway/fonts-api.wp.com/index.html	(from https://ambersway.com/)
18:05:47	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Jan%202023%2023:05:47%20GMT	https://fonts.gstatic.com/	/home/mjs/sites/ambersway/fonts.gstatic.com/index.html	(from https://ambersway.com/)
18:05:48	1767/1767	---MCZ	200	added ('OK')	application/xml	date:Tue,%2003%20Jan%202023%2023:05:47%20GMT	https://ambersway.com/osd.xml	/home/mjs/sites/ambersway/ambersway.com/osd.xml	(from https://ambersway.com/)
18:05:48	260810/260810	U-----	200	untouched ('OK')	text/css	etag:W/%2263adee0d-3faca%22	https://s0.wp.com/_static/??-eJyNktFSAyEMRX9IiNvtaH1w/BZgM5gaWIZAO/x9abWdtVrrCzM34YSbBNgn5eZYMBYIVSWunqLAPrk5KAnE2K6UdiIPsMDOjK9dWsy+ZzLCbljrjV6DrcQTWJ7dh2Ky2eQGUhrjpRBFx3VCga1AwIkMMoaToYVIbBpmxeiNazpQvI/33FJ/g26bPzntxbAkc7Rs2lyL8pmmK9v/LpFNoejlDu7mL2ylh40elFBIjCrjTo8wkZTLDXVjfD0Ajo0IOVXee8/ya8uLNR8X1eMhmZ/T+gP7/A/Wpowiqp+Bajg/2bm38Do8Pa/G9fg4vmwPiKXklQ==?cssminify=yes	/home/mjs/sites/ambersway/s0.wp.com/_static/indexb207.html	(from https://ambersway.com/)
18:05:48	23608/23608	U-----	200	untouched ('OK')	text/css	etag:W/%22634fd0ee-5c38%22	https://s0.wp.com/_static/??/wp-content/themes/pub/penscratch-2/css/reset.css,/wp-content/themes/pub/penscratch-2/style.css?m=1666174179j&cssminify=yes	/home/mjs/sites/ambersway/s0.wp.com/_static/indexba8e.html	(from https://ambersway.com/)
18:05:48	595928/595928	U-----	200	untouched ('')	application/rss+xml	date:Tue,%2003%20Jan%202023%2022:18:43%20GMT	https://ambersway.com/feed/	/home/mjs/sites/ambersway/ambersway.com/feed/index.html	(from https://ambersway.com/)
18:05:48	319163/319163	U--MCZ	200	updated ('OK')	application/rss+xml	etag:W/%22e363fe77daee2e2664d7a6e4deb3bdf5%22	https://ambersway.com/comments/feed/	/home/mjs/sites/ambersway/ambersway.com/comments/feed/index.html	(from https://ambersway.com/)
18:05:49	868/868	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ffc31a9-465%22	https://s0.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1610363240h	/home/mjs/sites/ambersway/s0.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohodc5c.js	(from https://ambersway.com/)
