date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:38	345/345	------	200	untouched ('OK')	text/plain	date:Tue,%2003%20Jan%202023%2022:17:26%20GMT	https://ambersway.com/robots.txt		(from )
17:18:39	618856/618856	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2022:18:38%20GMT	https://ambersway.com/	/home/mjs/sites/ambersway/ambersway.com/index.html	(from )
17:18:39	5842/5842	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2022:18:39%20GMT	https://gmpg.org/xfn/11	/home/mjs/sites/ambersway/gmpg.org/xfn/11.html	(from https://ambersway.com/)
17:18:40	38/38	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2022:18:40%20GMT	https://ambersway.com/remote-login.php?wpcom_remote_login=validate	/home/mjs/sites/ambersway/ambersway.com/remote-login4f98.html	(from https://ambersway.com/)
17:18:41	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2003%20Jan%202023%2022:18:41%20GMT	https://r-login.wordpress.com/remote-login.php	/home/mjs/sites/ambersway/r-login.wordpress.com/remote-login.2.delayed	(from https://ambersway.com/)
17:18:42	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Jan%202023%2022:18:42%20GMT	http://s0.wp.com/	/home/mjs/sites/ambersway/s0.wp.com/index.html	(from https://ambersway.com/)
17:18:42	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Jan%202023%2022:18:42%20GMT	http://amberswayblog.wordpress.com/	/home/mjs/sites/ambersway/amberswayblog.wordpress.com/index.html	(from https://ambersway.com/)
17:18:42	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Jan%202023%2022:18:42%20GMT	http://fonts-api.wp.com/	/home/mjs/sites/ambersway/fonts-api.wp.com/index.html	(from https://ambersway.com/)
17:18:43	618/618	---MCZ	200	added ('OK')	text/css	date:Tue,%2003%20Jan%202023%2022:18:42%20GMT	https://fonts-api.wp.com/css?family=Roboto+Slab%3A300%2C400%2C700&subset=latin%2Clatin-ext	/home/mjs/sites/ambersway/fonts-api.wp.com/css2901.css	(from https://ambersway.com/)
17:18:43	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Jan%202023%2022:18:43%20GMT	https://fonts.gstatic.com/	/home/mjs/sites/ambersway/fonts.gstatic.com/index.html	(from https://ambersway.com/)
17:18:44	5605/5605	---MCZ	200	added ('OK')	text/css	etag:W/%225bfee31f-1f6c%22	https://s0.wp.com/wp-content/mu-plugins/global-print/global-print.css?m=1465851035h&cssminify=yes	/home/mjs/sites/ambersway/s0.wp.com/wp-content/mu-plugins/global-print/global-printa1cf.css	(from https://ambersway.com/)
17:18:44	260810/260810	---MCZ	200	added ('OK')	text/css	etag:W/%2263adee0d-3faca%22	https://s0.wp.com/_static/??-eJyNktFSAyEMRX9IiNvtaH1w/BZgM5gaWIZAO/x9abWdtVrrCzM34YSbBNgn5eZYMBYIVSWunqLAPrk5KAnE2K6UdiIPsMDOjK9dWsy+ZzLCbljrjV6DrcQTWJ7dh2Ky2eQGUhrjpRBFx3VCga1AwIkMMoaToYVIbBpmxeiNazpQvI/33FJ/g26bPzntxbAkc7Rs2lyL8pmmK9v/LpFNoejlDu7mL2ylh40elFBIjCrjTo8wkZTLDXVjfD0Ajo0IOVXee8/ya8uLNR8X1eMhmZ/T+gP7/A/Wpowiqp+Bajg/2bm38Do8Pa/G9fg4vmwPiKXklQ==?cssminify=yes	/home/mjs/sites/ambersway/s0.wp.com/_static/indexb207.html	(from https://ambersway.com/)
17:18:44	319163/319163	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%223521bb8785e2d73bacfc17d81f069bbf%22	https://ambersway.com/comments/feed/	/home/mjs/sites/ambersway/ambersway.com/comments/feed/index.html	(from https://ambersway.com/)
17:18:45	323/323	---MCZ	200	added ('OK')	text/css	etag:W/%225bfee315-1d7%22	https://s0.wp.com/wp-content/themes/h4/global.css?m=1420737423h&cssminify=yes	/home/mjs/sites/ambersway/s0.wp.com/wp-content/themes/h4/global21a2.css	(from https://ambersway.com/)
17:18:45	23608/23608	---MCZ	200	added ('OK')	text/css	etag:W/%22634fd0ee-5c38%22	https://s0.wp.com/_static/??/wp-content/themes/pub/penscratch-2/css/reset.css,/wp-content/themes/pub/penscratch-2/style.css?m=1666174179j&cssminify=yes	/home/mjs/sites/ambersway/s0.wp.com/_static/indexba8e.html	(from https://ambersway.com/)
17:18:45	9502/9502	---MCZ	200	added ('OK')	text/css	etag:W/%2262f2014a-251e%22	https://s0.wp.com/_static/??-eJyNjkEKwjAQRS/kOLWU7MSzpMOYRpNJyEwpvb3RjYgg7t5bvM/HrQIVMRZDWzizYl1nrCxKzRstMCKp4pwK3fXY8YB/JFEI1fbEsFUq+avLK9S0hiiKgQv0cW+xyIfANfnYfqWN+63QMbw+vvUZXfL55NwwjM5N0+0BdkhVaQ==?cssminify=yes	/home/mjs/sites/ambersway/s0.wp.com/_static/index36c5.html	(from https://ambersway.com/)
17:18:45	595928/595928	---MCZ	200	added ('OK')	application/rss+xml	date:Tue,%2003%20Jan%202023%2022:18:43%20GMT	https://ambersway.com/feed/	/home/mjs/sites/ambersway/ambersway.com/feed/index.html	(from https://ambersway.com/)
17:18:47	890/890	---MCZ	200	added ('OK')	text/xml	date:Tue,%2003%20Jan%202023%2022:18:46%20GMT	https://amberswayblog.wordpress.com/xmlrpc.php?rsd	/home/mjs/sites/ambersway/amberswayblog.wordpress.com/xmlrpc0db0.php	(from https://ambersway.com/)
